order_id,customer_id,order_date,status,order_total
1001,1,2026-01-04,completed,1840.00
1002,2,2026-01-08,completed,315.50
1003,3,2026-01-12,completed,760.00
1004,4,2026-01-20,cancelled,990.00
1005,5,2026-02-02,completed,420.75
1006,1,2026-02-11,completed,1275.25
1007,6,2026-02-17,pending,540.00
1008,4,2026-02-28,completed,2310.00
1009,2,2026-03-03,completed,285.00
1010,3,2026-03-14,completed,910.50
1011,5,2026-03-22,completed,675.25
1012,6,2026-03-27,completed,830.00
1013,1,2025-12-28,completed,5000.00
1014,4,2026-04-01,completed,3500.00
